Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9867024677151259,0.9822719850711453,0.9933946685539042,0.9878020173586676
Random Forest,0.995652729829945,0.9938924124970636,0.9981127624439726,0.9959981167608286
MLPClassifier,0.9858074415036441,0.9838255977496484,0.9900920028308563,0.9869488536155203
